,Unnamed: 0,Week,Date,Home Team,Away Team,Spread,Opening Spread,inter_spread_1,inter_spread_2,Home Points,Away Points,clean_breaks_home,clean_breaks_away,home_turnovers_conceded,away_turnovers_conceded,turnovers_won_home,turnovers_won_away,home_penalties_conceded,away_penalties_conceded,yellow_card_home,yellow_card_away,Unnamed: 21,Unnamed: 22,Unnamed: 23,sin_bin,penalties_conceded,clean_breaks,Turnover
0,,0.0,2022-05-24,Moana,Force,3.0,,,,28.0,48.0,5.0,7.0,9.0,12.0,3.0,2.0,13.0,9.0,1.0,0.0,,,,1.0,4.0,2.0,-4.0
1,,0.0,2022-05-27,Crusaders,Reds,-21.0,,,,28.0,15.0,6.0,4.0,18.0,16.0,6.0,7.0,11.0,8.0,1.0,0.0,,,,1.0,3.0,-2.0,3.0
2,,0.0,2022-05-28,Drua,Chiefs,16.5,,,,34.0,35.0,6.0,3.0,17.0,14.0,5.0,5.0,8.0,11.0,0.0,0.0,,,,0.0,-3.0,-3.0,3.0
3,,0.0,2022-05-28,Moana,Brumbies,20.0,,,,32.0,22.0,4.0,1.0,13.0,15.0,5.0,8.0,10.0,13.0,2.0,2.0,,,,0.0,-3.0,-3.0,1.0
4,,0.0,2022-05-28,Waratahs,Blues,-4.5,,,,17.0,20.0,4.0,2.0,16.0,15.0,7.0,6.0,12.0,10.0,0.0,2.0,,,,-2.0,2.0,-2.0,0.0
5,,0.0,2022-05-28,Force,Hurricanes,14.5,,,,27.0,22.0,3.0,3.0,13.0,18.0,7.0,7.0,8.0,14.0,1.0,1.0,,,,0.0,-6.0,0.0,-5.0
6,,0.0,2022-05-29,Rebels,Highlanders,6.0,,,,31.0,30.0,7.0,8.0,11.0,18.0,3.0,2.0,9.0,6.0,0.0,0.0,,,,0.0,3.0,1.0,-8.0
7,,0.0,2022-06-03,Crusaders,Reds,-19.5,,,,37.0,15.0,6.0,2.0,14.0,14.0,8.0,6.0,8.0,16.0,0.0,0.0,,,,0.0,-8.0,-4.0,-2.0
8,,0.0,2022-06-04,Chiefs,Waratahs,-12.0,,,,39.0,15.0,4.0,5.0,11.0,18.0,6.0,6.0,6.0,11.0,0.0,0.0,,,,0.0,-5.0,1.0,-7.0
9,,0.0,2022-06-04,Blues,Highlanders,-17.0,,,,35.0,6.0,8.0,2.0,18.0,17.0,9.0,9.0,13.0,6.0,0.0,1.0,,,,-1.0,7.0,-6.0,1.0
10,,0.0,2022-06-04,Brumbies,Hurricanes,-4.5,,,,35.0,25.0,1.0,3.0,7.0,14.0,8.0,4.0,10.0,10.0,2.0,2.0,,,,0.0,0.0,2.0,-11.0
11,,0.0,2022-06-10,Crusaders,Chiefs,-8.5,,,,20.0,7.0,4.0,2.0,12.0,18.0,7.0,3.0,13.0,8.0,3.0,1.0,,,,2.0,5.0,-2.0,-10.0
12,,0.0,2022-06-11,Blues,Brumbies,-13.5,,,,20.0,19.0,5.0,2.0,11.0,10.0,6.0,6.0,12.0,10.0,2.0,0.0,,,,2.0,2.0,-3.0,1.0
13,,0.0,2022-06-18,Blues,Crusaders,-1.0,,,,7.0,21.0,2.0,4.0,17.0,17.0,7.0,7.0,7.0,9.0,0.0,0.0,,,,0.0,-2.0,2.0,0.0
14,,-1.0,2022-05-20,Crusaders,Drua,-28.5,,,,61.0,3.0,9.0,1.0,12.0,17.0,10.0,4.0,6.0,12.0,0.0,1.0,,,,-1.0,-6.0,-8.0,-11.0
15,,-1.0,2022-05-20,Reds,Moana,-18.0,,,,34.0,22.0,6.0,5.0,13.0,16.0,6.0,4.0,13.0,9.0,1.0,2.0,,,,-1.0,4.0,-1.0,-5.0
16,,-1.0,2022-05-21,Chiefs,Force,-24.5,,,,54.0,21.0,7.0,3.0,15.0,14.0,8.0,5.0,12.0,12.0,0.0,0.0,,,,0.0,0.0,-4.0,-2.0
17,,-1.0,2022-05-21,Hurricanes,Rebels,-18.0,,,,45.0,22.0,7.0,5.0,17.0,11.0,5.0,10.0,12.0,12.0,0.0,0.0,,,,0.0,0.0,-2.0,11.0
18,,-1.0,2022-05-21,Brumbies,Blues,5.0,,,,19.0,21.0,1.0,4.0,13.0,8.0,3.0,6.0,16.0,5.0,2.0,0.0,,,,2.0,11.0,3.0,8.0
19,,-1.0,2022-05-22,Highlanders,Waratahs,-11.0,,,,20.0,32.0,6.0,7.0,19.0,16.0,7.0,12.0,12.0,7.0,2.0,1.0,,,,1.0,5.0,1.0,8.0
